tarih;brFiyat;fiyatEn;istihdam;issizlik;grAltin;usdKuru;konutKrFay;vadeliMevFay;yurticiUsdMevd;tufe;TGE
2021-06;2.236683875;0.625004496;43.176793;13.30182;3.285643179;-4.339844498;17.516874;16.283708;5.002589187;-0.998499209;83.872869
2021-07;1.775326026;2.281282664;42.823851;13.364149;0.554330275;-0.064047505;18.10431;16.430343;-0.554373457;0.561042278;84.678085
2021-08;1.075994312;1.966498791;42.157176;14.349664;3.073260262;4.315091453;14.551341;13.895531;-0.624014435;1.097349195;80.998161
2021-09;2.214015377;1.077948978;42.710468;14.37544;5.361808905;5.048499856;16.125781;15.625571;3.023408724;2.099827976;75.007443
2021-10;2.336425548;1.218798851;41.973421;14.137403;-0.346182295;-2.252808975;18.603961;16.989121;3.46757975;1.939794435;75.975759
2021-11;1.609248042;1.944438114;42.191168;13.742313;-2.140106701;-2.644428934;19.493689;17.953608;-0.921148538;0.126807341;85.395504
2021-12;0.377826646;2.008633284;41.344481;14.611106;1.990198951;2.282944819;18.941973;17.179682;-1.375225383;0.344097787;83.485263
2022-01;1.992180497;1.544815725;39.2097;15.696267;2.115259123;1.622446217;18.310988;15.441682;0.329987972;1.308332037;79.754096
